Cycle,Training samples,Epoch,Loss,Keep/delete loss,Refinement coordinate loss,Addition EOS loss,Addition coordinate loss,Elapsed minutes
small,100,1,1.8621242046356201,0.701272189617157,0.0009924254845827818,0.7020827531814575,0.04488450288772583,0.0039726433334484074
small,100,2,1.7478585243225098,0.6830042600631714,0.0009856803808361292,0.6500933170318604,0.040490418672561646,0.007433563333082324
small,100,3,1.6403995752334595,0.6657826900482178,0.0009826658060774207,0.6019970774650574,0.036279305815696716,0.011315385000004122
small,100,4,1.536468744277954,0.649178147315979,0.0009813450742512941,0.5562016367912292,0.032127540558576584,0.014880431666582202
small,100,5,1.4343074560165405,0.6327944397926331,0.0009801280684769154,0.5120647549629211,0.027964701876044273,0.018170715000208778
small,100,6,1.3334581851959229,0.6161933541297913,0.0009776733350008726,0.4693310558795929,0.02381570264697075,0.021615308333033077
small,100,7,1.2344611883163452,0.5992282629013062,0.0009741486865095794,0.4277791678905487,0.01977122575044632,0.024837518333030554
small,100,8,1.138271450996399,0.5820038318634033,0.000971222878433764,0.38728347420692444,0.01592719554901123,0.028694596666415842
small,100,9,1.0462595224380493,0.564825713634491,0.0009700245573185384,0.34797677397727966,0.012375679798424244,0.031699391666916196
small,100,10,0.9606150388717651,0.5481858849525452,0.0009705402771942317,0.31034448742866516,0.009237920865416527,0.03501702500022172
small,100,11,0.8834745287895203,0.532634973526001,0.0009720348170958459,0.2749083340167999,0.006621092092245817,0.03816707499984962
small,100,12,0.8163989186286926,0.5186265110969543,0.0009735811036080122,0.24219673871994019,0.004583983216434717,0.04171918833356661
small,100,13,0.7602484226226807,0.5066502094268799,0.000974432157818228,0.21266447007656097,0.0031189362052828074,0.045217733333508175
small,100,14,0.7151674032211304,0.4972136318683624,0.0009739672532305121,0.18668697774410248,0.0021527125500142574,0.04836286333350775
small,100,15,0.6805515885353088,0.4907267987728119,0.0009714994230307639,0.1645064502954483,0.0015603338833898306,0.051690186666868004
medium,500,1,1.6430241763591766,0.6751167625188828,0.0010940434149233624,0.6169306635856628,0.034003638196736574,0.01761237499983205
medium,500,2,1.3177792429924011,0.6092267483472824,0.0010944684618152678,0.4258139878511429,0.02717938693240285,0.03447800500046772
medium,500,3,1.1091195940971375,0.5461931228637695,0.0010885512019740418,0.2715766243636608,0.028046434745192528,0.05166339333324383
medium,500,4,0.9217803031206131,0.49849462509155273,0.001101309506339021,0.16597798094153404,0.024629459716379642,0.06824747166635158
medium,500,5,0.8017109930515289,0.4876473769545555,0.001058354609995149,0.11373316682875156,0.0189746858086437,0.08391056999971624
medium,500,6,0.8435050696134567,0.49976661801338196,0.0010089882562169805,0.09803405683487654,0.023561452515423298,0.09962326666670075
medium,500,7,0.8434652388095856,0.4986715465784073,0.0010418129968456924,0.09375225752592087,0.024062327342107892,0.11560020833373225
medium,500,8,0.7603351473808289,0.48943544924259186,0.0010399032762506977,0.09382582316175103,0.016667486634105444,0.13206635833291028
medium,500,9,0.7893587946891785,0.48548226058483124,0.0009989326499635354,0.09288252564147115,0.02010046853683889,0.14780925666661157
medium,500,10,0.8154817521572113,0.48793773353099823,0.000991208537016064,0.0935865119099617,0.022404543589800596,0.164879549999993
medium,500,11,0.8069502115249634,0.4887690022587776,0.000999187890556641,0.09260416589677334,0.02155851456336677,0.18118509999961438
medium,500,12,0.6925260722637177,0.4868190586566925,0.001006394057185389,0.0894950833171606,0.01061479898635298,0.19898594499973116
medium,500,13,0.7886505424976349,0.48558397591114044,0.000992475397652015,0.0915726013481617,0.02015692158602178,0.2161752433331761
medium,500,14,0.6894747465848923,0.48562147468328476,0.0009803346038097516,0.08777012350037694,0.010627982672303915,0.23328256833386452
medium,500,15,0.7148386389017105,0.48760657012462616,0.0009866865439107642,0.08880097791552544,0.01285642385482788,0.2501306649995968
larger,1000,1,1.49735027551651,0.6407046541571617,0.0010716168471844867,0.5184881426393986,0.03274412755854428,0.034580003333394414
larger,1000,2,1.0556200966238976,0.5237611792981625,0.0010561892922851257,0.22609776258468628,0.02951992757152766,0.06773982833353026
larger,1000,3,0.9001006707549095,0.49403323605656624,0.000995772446913179,0.11208655405789614,0.02840231521986425,0.10246005166651836
larger,1000,4,0.8311406299471855,0.4960515834391117,0.000995913775113877,0.09634073590859771,0.02287891600281,0.1368628533333928
