Method,tp,fp,fn,tn,Precision,Recall,F1-score,Accuracy,IoU
CNN raster + Hough fusion,10471,128158,396930,19125241,0.07553253648226507,0.02570194967611757,0.038353203657552994,0.9732926432291666,0.019551534004656777
Hough transform baseline,186302,20861,221099,19232538,0.8993015161973862,0.4572939192589109,0.6062899872516738,0.9876932779947917,0.4350187502043132
