Cycle,Training samples,Epoch,Loss,Continue/EOS loss,Coordinate loss,Elapsed minutes
small,2000,1,0.8413416109979153,0.5371417552232742,0.030419984715990722,0.0575557083337723
small,2000,2,0.6342340968549252,0.3693630564957857,0.026487104245461524,0.1052245966672975
small,2000,3,0.5237541180104017,0.2674139691516757,0.025634014862589538,0.15305391000001692
small,2000,4,0.4545600302517414,0.20458952523767948,0.024997050873935223,0.1997692683333298
small,2000,5,0.42671530321240425,0.18288460560142994,0.024383070529438555,0.24671751000084138
small,2000,6,0.3913201838731766,0.1519505623728037,0.023936962243169546,0.3101236083341064
small,2000,7,0.37452641502022743,0.13989713182672858,0.023462928482331336,0.37309010833365996
small,2000,8,0.37096639536321163,0.13966961158439517,0.023129678680561483,0.4353085516670641
small,2000,9,0.3434473928064108,0.11734878923743963,0.022609860287047923,0.49851512000022924
small,2000,10,0.3231448922306299,0.10372502589598298,0.02194198628421873,0.5586869233336377
small,2000,11,0.3178735990077257,0.10292102210223675,0.021495257853530347,0.6226833450006476
small,2000,12,0.3052700664848089,0.09620197908952832,0.02090680890250951,0.6837648100006238
small,2000,13,0.3142343182116747,0.10801908560097218,0.020621523028239608,0.7441770516675509
small,2000,14,0.2983386851847172,0.0945703242905438,0.020376836066134274,0.8052019483341913
small,2000,15,0.32605972047895193,0.12257793825119734,0.020348178106360137,0.8671700449999965
