Cycle,Training samples,Epoch,Loss,Continue/EOS loss,Coordinate loss,Elapsed minutes
medium,20000,1,0.4866023883698093,0.23716087008167983,0.024944151710173126,0.7012971183333624
medium,20000,2,0.3323671242613701,0.12503202568004085,0.02073350982965937,1.326440308333258
medium,20000,3,0.2921039351991787,0.10048525576378889,0.01916186789133746,1.9572029533340052
medium,20000,4,0.2653970711739959,0.09255008102886995,0.017284699003835013,2.5755108483339426
medium,20000,5,0.2390511764842234,0.07907842149495319,0.01599727547875825,3.1815239333334224
medium,20000,6,0.2301919019905625,0.07464150092594184,0.01555504023459307,3.7897666333340263
medium,20000,7,0.21437683559147416,0.06451760915813932,0.014985922664688652,4.407132236667288
medium,20000,8,0.2125065699694263,0.06669222843495144,0.0145814340787044,5.028525531667401
medium,20000,9,0.19886962253196983,0.06004225062858907,0.013882737108476602,5.655070411667111
medium,20000,10,0.1834971381790319,0.054262383716406334,0.01292347544388976,6.2925352600005375
medium,20000,11,0.17876695751384564,0.0555668611340462,0.012320009635607148,6.917586880000696
medium,20000,12,0.169088609943724,0.05165724330552065,0.01174313664602436,7.552657466667005
medium,20000,13,0.16233503704617738,0.04588698178150092,0.011644805579855564,8.199361145000633
medium,20000,14,0.1583260915651443,0.044410457727825564,0.011391563435933392,8.822152443333955
medium,20000,15,0.15480392549637775,0.04485194169127258,0.01099519843271204,9.441823546667
