Method,tp,fp,fn,tn,Precision,Recall,F1-score,Accuracy,IoU
CNN raster + Hough fusion,6053,119780,401348,19133619,0.048103438684605405,0.014857597305848501,0.022702978069144703,0.9734940592447917,0.011481825027836717
Hough transform baseline,186302,20861,221099,19232538,0.8993015161973862,0.4572939192589109,0.6062899872516738,0.9876932779947917,0.4350187502043132
