method,method_display,preprocess_method,preprocess_display,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_preprocessed,pixel_recall_on_preprocessed,pixel_f1_on_preprocessed,pixel_iou_on_preprocessed,pixel_accuracy_on_preprocessed,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,preprocess_kind,raw_stroke_pixels,processed_feature_pixels,opening_radius,closing_radius,erode_radius,dilate_radius,density_radius,distance_decay_px,neighbour_blend,apply_opening,apply_closing,apply_erosion,apply_dilation,apply_skeletonization,internal_skeletonization_applied
cnn_direct_vector_regression__neighbour_context,CNN + Neighbour-count context,neighbour_context,Neighbour-count context,977,3,3,0,0.3307938624242972,0.09548394548394548,0.9391304347826087,0.0,1.0,0,1,0.0,0.0,0.0,0.0,0.9788818359374403,0,111,235,16038,0.0,0.0,0.0,0.9788818359374403,0.0,neighbour_context,235,235,0,0,0,0,0,0.0,0.45,False,False,False,False,False,False
cnn_direct_vector_regression__skeleton,CNN + Zhang-Suen skeleton,skeleton,Zhang-Suen skeleton,977,3,3,0,0.5595868945868946,0.04188034188034187,0.9537037037037037,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.9871826171874397,0,102,108,16174,0.0,0.0,0.0,0.9871826171874397,0.0,skeleton,235,108,0,0,0,0,0,0.0,0.0,False,False,False,False,True,False
cnn_direct_vector_regression__threshold_only,CNN + Threshold binary,threshold_only,Threshold binary,978,2,2,0,0.48632070707070707,0.06499999999999999,0.5353535353535354,1.0,1.0,0,0,0.08247422680327346,0.045197740112739,0.05839416012613886,0.030075187969811748,0.9842529296874399,8,89,169,16118,0.08247422680327346,0.045197740112739,0.05839416012613886,0.9842529296874399,0.030075187969811748,binary,177,177,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__dilated_stroke,CNN + Dilated stroke,dilated_stroke,Dilated stroke,978,2,2,0,0.4992957746478873,0.0,0.7464788732394366,1.0,1.0,0,0,0.35714285713775507,0.07936507936482741,0.12987012957193456,0.06944444444425155,0.9795532226561902,25,45,290,16024,0.35714285713775507,0.07936507936482741,0.12987012957193456,0.9795532226561902,0.06944444444425155,binary,177,315,0,0,0,1,0,0.0,0.0,False,False,False,True,False,False
cnn_direct_vector_regression__close_gaps,CNN + Close small gaps,close_gaps,Close small gaps,978,2,2,0,0.5309722222222222,0.075,0.7361111111111112,1.0,1.0,0,0,0.06849315068399324,0.028248587570461874,0.03999999958620801,0.020408163265222826,0.9853515624999398,5,68,172,16139,0.06849315068399324,0.028248587570461874,0.03999999958620801,0.9853515624999398,0.020408163265222826,binary,177,177,0,1,0,0,0,0.0,0.0,False,True,False,False,False,False
cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,Local density blur,978,2,2,0,0.619,0.30333333333333334,0.6625,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.9775390624999403,0,81,287,16016,0.0,0.0,0.0,0.9775390624999403,0.0,local_density,177,287,0,0,0,0,2,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__sobel_edges,CNN + Sobel edge response,sobel_edges,Sobel edge response,978,2,1,1,0.45849056603773586,0.0,0.7924528301886793,1.0,0.5,0,0,0.0,0.0,0.0,0.0,0.98205566406244,0,42,252,16090,0.0,0.0,0.0,0.98205566406244,0.0,sobel_edges,177,252,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,Distance-to-stroke,978,2,2,0,0.6078289473684211,0.325,0.5578947368421052,1.0,1.0,0,0,0.4329896907171857,0.09110629067225356,0.15053763412082966,0.08139534883705156,0.9710693359374407,42,55,419,15868,0.4329896907171857,0.09110629067225356,0.15053763412082966,0.9710693359374407,0.08139534883705156,distance_transform,177,461,0,0,0,0,0,4.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__neighbour_context,CNN + Neighbour-count context,neighbour_context,Neighbour-count context,978,2,2,0,0.5467531446540881,0.11018518518518516,0.7358490566037736,1.0,1.0,0,0,0.342105263148892,0.07344632768320088,0.12093023226600325,0.06435643564324577,0.9884643554686896,13,25,164,16182,0.342105263148892,0.07344632768320088,0.12093023226600325,0.9884643554686896,0.06435643564324577,neighbour_context,177,177,0,0,0,0,0,0.0,0.45,False,False,False,False,False,False
cnn_direct_vector_regression__skeleton,CNN + Zhang-Suen skeleton,skeleton,Zhang-Suen skeleton,978,2,2,0,0.47607704402515727,0.04537037037037035,0.5283018867924528,1.0,1.0,0,0,0.07407407407133058,0.03773584905589178,0.0499999995515625,0.02564102564069691,0.9953613281249393,2,25,51,16306,0.07407407407133058,0.03773584905589178,0.0499999995515625,0.9953613281249393,0.02564102564069691,skeleton,177,53,0,0,0,0,0,0.0,0.0,False,False,False,False,True,False
cnn_direct_vector_regression__threshold_only,CNN + Threshold binary,threshold_only,Threshold binary,979,3,3,0,0.6643746462931522,0.2923976608187135,0.9139784946236559,1.0,1.0,0,0,0.2210526315766205,0.07664233576614364,0.1138211378284237,0.060344827586033496,0.9800415039061902,21,74,253,16036,0.2210526315766205,0.07664233576614364,0.1138211378284237,0.9800415039061902,0.060344827586033496,binary,274,274,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
