method,method_display,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_skeleton,pixel_recall_on_skeleton,pixel_f1_on_skeleton,pixel_iou_on_skeleton,pixel_accuracy_on_skeleton,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,raw_stroke_pixels,skeleton_stroke_pixels,graph_node_clusters,traced_paths,candidate_peak_count,component_count,candidate_local_segments,remaining_ransac_points,classified_line_pixels,classified_endpoint_pixels,classified_corner_pixels,classified_t_junction_pixels,classified_x_junction_pixels,internal_skeletonization_applied
hough_transform_on_shared_skeleton,Hough Transform,3,19,17,2,0.6309658171075472,0.5987091240140575,0.8103651354534747,0.44,0.8947368421052632,7,15,0.6828358208946731,0.8912337662323194,0.7732394361273933,0.6303099885182201,0.9803466796874402,549,255,67,15513,0.6828358208946731,0.8912337662323194,0.7732394361273933,0.9803466796874402,0.6303099885182201,1641,616,0,0,5221.0,,,,,,,,,False
contour_based_fitting_on_shared_skeleton,Contour-based fitting,3,19,34,15,0.541890340669535,0.7008187840991945,0.8531976744186046,0.0,0.5588235294117647,7,1,0.7188552188540087,0.6931818181806929,0.7057851234659408,0.5453384418894696,0.9782714843749403,427,167,189,15601,0.7188552188540087,0.6931818181806929,0.7057851234659408,0.9782714843749403,0.5453384418894696,1641,616,0,0,,11.0,,,,,,,,False
thinning_skeletonisation_graph_tracing_on_shared_skeleton,Thinning / skeletonisation,3,19,21,2,0.7062299694665836,0.7861158174684999,0.9171511627906976,0.31428571428571433,0.9047619047619048,7,7,0.877650897225322,0.8733766233752056,0.8755085430299044,0.7785817655560368,0.9906616210936895,538,75,78,15693,0.877650897225322,0.8733766233752056,0.8755085430299044,0.9906616210936895,0.7785817655560368,1641,616,39,28,,,,,544.0,32.0,2.0,24.0,14.0,False
run_graph_vectorisation_on_shared_skeleton,Run-graph vectorisation,3,19,24,5,0.6391684034631244,0.7369116976183125,0.9127906976744186,0.18333333333333335,0.7916666666666666,7,12,0.8694942903737855,0.8652597402583356,0.8673718465286973,0.7658045977000492,0.9900512695311895,533,80,83,15688,0.8694942903737855,0.8652597402583356,0.8673718465286973,0.9900512695311895,0.7658045977000492,1641,616,40,29,,,,,,,,,,False
sparse_pixel_ransac_vectorisation_on_shared_skeleton,Sparse-pixel RANSAC,3,19,15,4,0.5121225150484501,0.4848388748398607,0.7535596933187294,0.2571428571428571,0.7894736842105263,7,14,0.5907514450860223,0.8295454545441079,0.6900742736522971,0.5268041237107971,0.9719848632811906,511,354,105,15414,0.5907514450860223,0.8295454545441079,0.6900742736522971,0.9719848632811906,0.5268041237107971,1641,616,0,0,,,,8.0,,,,,,False
mesh_pattern_local_vectorisation_on_shared_skeleton,Mesh-pattern local,3,19,22,3,0.5044763156863137,0.6423175819573705,0.6453488372093024,0.0,0.8636363636363636,7,1,0.905882352939045,0.6249999999989854,0.7396733904856317,0.5868902439015444,0.9834594726561899,385,40,231,15728,0.905882352939045,0.6249999999989854,0.7396733904856317,0.9834594726561899,0.5868902439015444,1641,616,0,0,,,43.0,,,,,,,False
baseline_on_shared_skeleton,Baseline,4,15,15,0,0.8215450215015435,0.839453715174091,0.9689542483660131,0.6,1.0,5,3,0.9388111888095475,0.9163822525581632,0.9274611393948442,0.8647342995155157,0.9948730468749393,537,35,49,15763,0.9388111888095475,0.9163822525581632,0.9274611393948442,0.9948730468749393,0.8647342995155157,1620,586,38,31,,,,,,,,,,False
hough_transform_on_shared_skeleton,Hough Transform,4,15,14,1,0.5844878460789382,0.6752097590322577,0.7050691244239631,0.18518518518518517,0.9333333333333333,5,27,0.7027707808555381,0.9522184300325047,0.8086956516841,0.6788321167874953,0.9838867187499399,558,236,28,15562,0.7027707808555381,0.9522184300325047,0.8086956516841,0.9838867187499399,0.6788321167874953,1620,586,0,0,5366.0,,,,,,,,,False
contour_based_fitting_on_shared_skeleton,Contour-based fitting,4,15,14,1,0.4677681554752691,0.5060062133292109,0.7336601307189543,0.0,0.9333333333333333,5,2,0.530612244896756,0.3993174061426633,0.4556962020407252,0.29508196721274266,0.965881347656191,234,207,352,15591,0.530612244896756,0.3993174061426633,0.4556962020407252,0.965881347656191,0.29508196721274266,1620,586,0,0,,7.0,,,,,,,,False
thinning_skeletonisation_graph_tracing_on_shared_skeleton,Thinning / skeletonisation,4,15,15,0,0.8780228476937489,0.853122668077612,0.9705882352941176,0.8,1.0,5,4,0.9477351916359795,0.9283276450496104,0.937931033981195,0.8831168831154494,0.9956054687499392,544,30,42,15768,0.9477351916359795,0.9283276450496104,0.937931033981195,0.9956054687499392,0.8831168831154494,1620,586,39,32,,,,,488.0,25.0,2.0,55.0,16.0,False
