method,method_display,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_skeleton,pixel_recall_on_skeleton,pixel_f1_on_skeleton,pixel_iou_on_skeleton,pixel_accuracy_on_skeleton,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,raw_stroke_pixels,skeleton_stroke_pixels,graph_node_clusters,traced_paths,classified_line_pixels,classified_endpoint_pixels,classified_corner_pixels,classified_t_junction_pixels,classified_x_junction_pixels,internal_skeletonization_applied
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,120,6,9,3,0.3401827094240575,0.16507183618287785,0.9961685823754789,0.0,0.6666666666666667,1,4,0.016393442622883635,0.01785714285706314,0.017094016594857202,0.008620689655153835,0.9719238281249406,4,240,220,15920,0.016393442622883635,0.01785714285706314,0.017094016594857202,0.9719238281249406,0.008620689655153835,695,224,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,120,6,5,1,0.26533226182419734,0.12751898638995413,0.6230769230769231,0.0,0.8333333333333334,1,0,0.05732484076396609,0.04017857142839206,0.04724409400340313,0.02419354838703174,0.9778442382811903,9,148,215,16012,0.05732484076396609,0.04017857142839206,0.04724409400340313,0.9778442382811903,0.02419354838703174,695,224,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,121,17,14,3,0.6856141315244729,0.6932061830840073,0.881592039800995,0.4600000000000001,0.8235294117647058,10,7,0.8932584269652885,0.8912556053801668,0.8922558917548914,0.8054711246192447,0.9882812499999396,795,95,97,15397,0.8932584269652885,0.8912556053801668,0.8922558917548914,0.9882812499999396,0.8054711246192447,1892,892,32,32,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,121,17,14,3,0.6992543129701856,0.7008532419075367,0.882587064676617,0.5,0.8235294117647058,10,7,0.8922558922548909,0.8912556053801668,0.8917554678108338,0.8046558704445297,0.9882202148436896,795,96,97,15396,0.8922558922548909,0.8912556053801668,0.8917554678108338,0.9882202148436896,0.8046558704445297,1892,892,32,32,812.0,18.0,0.0,26.0,36.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,121,17,19,2,0.3238407740721115,0.2041767281611787,0.7124378109452736,0.0,0.8947368421052632,10,9,0.04414003044133312,0.03251121076229539,0.0374435114546489,0.0190789473684085,0.9089965820311945,29,628,863,14864,0.04414003044133312,0.03251121076229539,0.0374435114546489,0.9089965820311945,0.0190789473684085,1892,892,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,121,17,19,2,0.356746751857973,0.20396410463022047,0.8218905472636816,0.044444444444444446,0.8947368421052632,10,18,0.05006765899857907,0.04147982062775619,0.04537093757914503,0.023212045169370633,0.9049682617186947,37,702,855,14790,0.05006765899857907,0.04147982062775619,0.04537093757914503,0.9049682617186947,0.023212045169370633,1892,892,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,122,8,13,5,0.4332119066216845,0.4093876054272094,0.7641681901279708,0.13846153846153844,0.6153846153846154,6,13,0.45714285714166975,0.45012787723670045,0.4536082469215412,0.29333333333284445,0.9741210937499405,176,209,215,15784,0.45714285714166975,0.45012787723670045,0.4536082469215412,0.9741210937499405,0.29333333333284445,1614,391,17,14,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,122,8,14,6,0.41469105612848484,0.41299871653832043,0.7623400365630713,0.07692307692307693,0.5714285714285714,6,13,0.4857881136938352,0.48081841432102096,0.4832904879306475,0.3186440677960701,0.9754638671874404,188,199,203,15794,0.4857881136938352,0.48081841432102096,0.4832904879306475,0.9754638671874404,0.3186440677960701,1614,391,18,15,349.0,12.0,0.0,20.0,10.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,122,8,8,0,0.3192603508808376,0.2272411616161616,0.5850091407678245,0.0,1.0,6,3,0.06369426751572071,0.05115089514053414,0.05673758815828581,0.02919708029192818,0.9594116210936914,20,294,371,15699,0.06369426751572071,0.05115089514053414,0.05673758815828581,0.9594116210936914,0.02919708029192818,1614,391,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,122,8,9,1,0.3384908090392423,0.0937440888283585,0.7513711151736746,0.2285714285714286,0.8888888888888888,6,7,0.04221635883893875,0.04092071611242731,0.04155844105845506,0.021220159151165492,0.9549560546874417,16,363,375,15630,0.04221635883893875,0.04092071611242731,0.04155844105845506,0.9549560546874417,0.021220159151165492,1614,391,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,123,11,13,2,0.5536368588477507,0.4695100861077668,0.7887096774193548,0.4,0.8461538461538461,13,12,0.7415730337061988,0.7252747252731313,0.7333333328317655,0.5789473684200369,0.9853515624999398,330,115,125,15814,0.7415730337061988,0.7252747252731313,0.7333333328317655,0.9853515624999398,0.5789473684200369,1430,455,23,21,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,123,11,19,8,0.5058518419426591,0.498748374432585,0.7806451612903226,0.2695652173913044,0.5789473684210527,13,23,0.6481069042301824,0.639560439559034,0.6438053092331109,0.47471451875942133,0.9803466796874402,291,158,164,15771,0.6481069042301824,0.639560439559034,0.6438053092331109,0.9803466796874402,0.47471451875942133,1430,455,24,22,392.0,12.0,4.0,32.0,15.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,123,11,14,3,0.43433800607513,0.3086513963826394,0.6612903225806452,0.33846153846153854,0.7857142857142857,13,11,0.059139784946077585,0.048351648351542084,0.053204352588341774,0.0273291925465499,0.9522094726561918,22,350,433,15579,0.059139784946077585,0.048351648351542084,0.053204352588341774,0.9522094726561918,0.0273291925465499,1430,455,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,123,11,12,1,0.32374199830173755,0.16965182602113912,0.7209677419354839,0.04615384615384615,0.9166666666666666,13,2,0.05897435897420776,0.05054945054933945,0.05443786932531495,0.027980535279771315,0.9512329101561919,23,367,432,15562,0.05897435897420776,0.05054945054933945,0.05443786932531495,0.9512329101561919,0.027980535279771315,1430,455,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,124,14,17,3,0.5518015974038629,0.4974470487792506,0.8113207547169812,0.3333333333333333,0.8235294117647058,9,9,0.5595611285257687,0.5281065088749585,0.5433789949333812,0.3730407523507074,0.9633789062499412,357,281,319,15427,0.5595611285257687,0.5281065088749585,0.5433789949333812,0.9633789062499412,0.3730407523507074,1711,676,28,30,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,124,14,23,9,0.5872102478785297,0.6811763597920475,0.8490566037735849,0.19999999999999998,0.6086956521739131,9,23,0.7003012048182224,0.6878698224841896,0.6940298502452729,0.5314285714279641,0.9749755859374405,465,199,211,15509,0.7003012048182224,0.6878698224841896,0.6940298502452729,0.9749755859374405,0.5314285714279641,1711,676,32,34,577.0,14.0,6.0,34.0,45.0,False
