Method,Precision,Recall,F1-score,Accuracy,IoU
Unedited Hough vectors from distance-to-stroke,0.2682,0.5008,0.3494,0.9622,0.2117
CNN-refined Hough vectors from distance-to-stroke,0.5767,0.1863,0.2816,0.9807,0.1639
