Method,True vectors,Predicted vectors,Vector count error,Engineering score,Line geometry score,Total length score,Junction angle score,Vector count score,True junctions,Predicted junctions
CNN-refined Hough vectors from distance-to-stroke,3.0117,1.5567,1.5467,0.476,0.3269,0.5325,0.6953,0.4859,0.4392,0.2117
Unedited Hough vectors from distance-to-stroke,3.0117,15.5425,12.5308,0.3622,0.6145,0.2502,0.0531,0.2234,0.4392,46.0117
