Method,tp,fp,fn,tn,Precision,Recall,F1-score,Accuracy,IoU
CNN-refined Hough vectors from distance-to-stroke,57432,52425,341321,19209622,0.5227887162401984,0.14402901044004648,0.22583905119392578,0.9799730428059896,0.12729344072627627
Unedited Hough vectors from distance-to-stroke,199712,544842,199041,18717205,0.2682303768430493,0.5008413729802648,0.34935848331256675,0.9621641540527344,0.21165012531859514
