Method,tp,fp,fn,tn,Precision,Recall,F1-score,Accuracy,IoU
CNN-refined Hough vectors from distance-to-stroke,15712,92488,383041,19169559,0.14521256931607998,0.03940283834855151,0.06198602203712486,0.9758133443196615,0.031984300984649015
Unedited Hough vectors from distance-to-stroke,199712,544842,199041,18717205,0.2682303768430493,0.5008413729802648,0.34935848331256675,0.9621641540527344,0.21165012531859514
