Method,True vectors,Predicted vectors,Vector count error,Engineering score,Line geometry score,Total length score,Junction angle score,Vector count score,True junctions,Predicted junctions
CNN-refined Hough vectors from distance-to-stroke,3.0117,1.7892,1.4392,0.537,0.4097,0.6482,0.6573,0.5868,0.4392,0.2792
Unedited Hough vectors from distance-to-stroke,3.0117,15.5425,12.5308,0.3622,0.6145,0.2502,0.0531,0.2234,0.4392,46.0117
