Cycle,Training samples,Epoch,Loss,Keep/delete loss,Refinement coordinate loss,Addition EOS loss,Addition coordinate loss,Elapsed minutes
larger,40000,1,0.9829969488012905,0.4899572069271685,0.0009144543396374478,0.12165871807061636,0.03622364782365247,1.5391029400003997
larger,40000,2,0.9379008877010772,0.4663166445665085,0.0008556856260524867,0.10600900806534214,0.03570183762721122,3.068434291666684
larger,40000,3,0.8963777682842157,0.4422366592449883,0.0008449447034417797,0.10359090274443832,0.03421007590100598,4.597543650000201
larger,40000,4,0.8539323471605588,0.426187754629519,0.0008378004537710843,0.10073147878384058,0.03186351096721741,6.130215174999709
larger,40000,5,0.8331170060192815,0.41319195930950176,0.0008310758447000823,0.09900205887068575,0.03126122267059863,7.675903623332852
larger,40000,6,0.7882680665380277,0.40211468106641557,0.0008273241234743915,0.09646388792548888,0.02814162569864394,9.216650984999918
larger,40000,7,0.7694626411500449,0.3933256316108826,0.0008222400815190432,0.09522613258764576,0.027268847559218684,10.76739026333283
larger,40000,8,0.7437705542332829,0.38673457969872715,0.0008172237428839499,0.0936421753463749,0.025522156133719633,12.295788811666231
larger,40000,9,0.7140830473397106,0.38119303028042706,0.0008122925230037099,0.09145892464433805,0.023330816699670978,13.91275989166655
larger,40000,10,0.6997373663960174,0.37756525613248537,0.0008082975341102329,0.0905309773374575,0.022355815635517258,15.543401853333732
larger,40000,11,0.6969552948452032,0.37472135057083716,0.000804296663081565,0.08982149737116438,0.022436948070606103,17.14591287666699
larger,40000,12,0.6649079595130092,0.3718661323142128,0.000801066654889038,0.08883766056344913,0.01961934976778127,18.751417861666415
larger,40000,13,0.6659949122907255,0.36955862056713895,0.0007992660379061065,0.0886682430609537,0.01997753878952727,20.38625808666693
larger,40000,14,0.648250795877018,0.3671863949336945,0.0007959987394312344,0.08696569616016679,0.01861387141905844,22.014445216666598
larger,40000,15,0.6411695402270308,0.3652118952891316,0.0007942754785699871,0.08609669344624676,0.018191819585515363,23.61692872666657
