Method,True vectors,Predicted vectors,Vector count error,Engineering score,Line geometry score,Total length score,Junction angle score,Vector count score,True junctions,Predicted junctions
CNN-refined Hough vectors from distance-to-stroke,3.0117,2.8067,2.3217,0.3633,0.1815,0.4412,0.5783,0.4887,0.4392,0.6792
Unedited Hough vectors from distance-to-stroke,3.0117,15.5425,12.5308,0.3622,0.6145,0.2502,0.0531,0.2234,0.4392,46.0117
