Method,tp,fp,fn,tn,Precision,Recall,F1-score,Accuracy,IoU
CNN-refined Hough vectors from distance-to-stroke,74276,54519,324477,19207528,0.5766994060328384,0.18627069890383224,0.2815895421938804,0.9807232666015625,0.16386628779187737
Unedited Hough vectors from distance-to-stroke,199712,544842,199041,18717205,0.2682303768430493,0.5008413729802648,0.34935848331256675,0.9621641540527344,0.21165012531859514
