Method,tp,fp,fn,tn,Precision,Recall,F1-score,Accuracy,IoU
CNN distance-density,26409,359929,380992,18893470,0.06835724158638273,0.06482311039982704,0.06654328387972601,0.9623148091634115,0.03441674377386517
Hough transform baseline,186302,20861,221099,19232538,0.8993015161973862,0.4572939192589109,0.6062899872516738,0.9876932779947917,0.4350187502043132
