Method,tp,fp,fn,tn,Precision,Recall,F1-score,Accuracy,IoU
CNN distance-density,10772,137750,396629,19115649,0.07252797565343806,0.02644077947771354,0.038753567998293034,0.972820078531901,0.019759662919081097
Hough transform baseline,186302,20861,221099,19232538,0.8993015161973862,0.4572939192589109,0.6062899872516738,0.9876932779947917,0.4350187502043132
