Cycle,Training samples,Epoch,Loss,Continue/EOS loss,Coordinate loss,Elapsed minutes
medium,20000,1,0.518608425643034,0.26435060447947994,0.02542578209500024,0.3567606000006587
medium,20000,2,0.3641817283098865,0.15495567450857467,0.020922605494025408,0.7149408633335649
medium,20000,3,0.31179623941707,0.12889782111546036,0.018289841842024947,1.0695635316670329
medium,20000,4,0.29119381479396944,0.11654259943088909,0.01746512150427528,1.4290529700005814
medium,20000,5,0.2723629915980017,0.10527179893224863,0.016709119295048865,1.7838669066666626
medium,20000,6,0.26369283068331945,0.10061757551257018,0.016307525556226065,2.1394092333338146
medium,20000,7,0.25114687755229365,0.09275999900167155,0.015838687758963958,2.5013582700000065
medium,20000,8,0.24534860167913375,0.09075092336839172,0.015459767839378991,2.8663034099998184
medium,20000,9,0.2372439805489437,0.08636795658214837,0.015087602440576265,3.228854888333202
medium,20000,10,0.2266221856045875,0.07977307644809127,0.014684910933445594,3.598751241667196
medium,20000,11,0.22431577371943529,0.07915966511721824,0.01451561091598242,3.964987353333466
medium,20000,12,0.21648336140213498,0.07480400969173498,0.014167935101042507,4.3361131000002695
medium,20000,13,0.21111103095066774,0.06972623830008659,0.014138479313700441,4.701774341666411
medium,20000,14,0.20841100299434298,0.06963386721197207,0.0138777135070532,5.064218726666877
medium,20000,15,0.20463647498826312,0.06895880528079097,0.013567766898376927,5.429182003333699
