Method,tp,fp,fn,tn,Precision,Recall,F1-score,Accuracy,IoU
CNN distance-density,17551,200246,389850,19053153,0.08058421374031745,0.04308040481000282,0.0561454126791057,0.9699861653645834,0.028883545874496163
Hough transform baseline,186302,20861,221099,19232538,0.8993015161973862,0.4572939192589109,0.6062899872516738,0.9876932779947917,0.4350187502043132
