Method,tp,fp,fn,tn,Precision,Recall,F1-score,Accuracy,IoU
CNN distance-density,5268,107516,402133,19145883,0.04670875301461159,0.012930748819958683,0.020254332253599253,0.9740779113769531,0.010230775056950907
Hough transform baseline,186302,20861,221099,19232538,0.8993015161973862,0.4572939192589109,0.6062899872516738,0.9876932779947917,0.4350187502043132
