Cycle,Training samples,Epoch,Loss,Continue/EOS loss,Coordinate loss,Elapsed minutes
small,2000,1,0.8617469072341919,0.5424979459494352,0.03192489640787244,0.03403335333277937
small,2000,2,0.6421834081411362,0.3734220154583454,0.02687613933812827,0.0624764383333968
small,2000,3,0.5237529389560223,0.2663759207352996,0.02573770168237388,0.09013699666635754
small,2000,4,0.49017953127622604,0.23713070154190063,0.025304882554337382,0.11762230833313272
small,2000,5,0.4696520958095789,0.2215797482058406,0.02480723464395851,0.144423901666111
small,2000,6,0.4486895967274904,0.20609073154628277,0.024259885889478028,0.17174960833314495
small,2000,7,0.43927106261253357,0.2003497015684843,0.023892135825008154,0.1993383699998958
small,2000,8,0.43171212635934353,0.1958815772086382,0.02358305489178747,0.2269431966667374
small,2000,9,0.4148738607764244,0.18229355849325657,0.023258030065335333,0.2545891550000912
small,2000,10,0.3912555053830147,0.16193999908864498,0.02293155062943697,0.2821903399997003
small,2000,11,0.391771886497736,0.16418084781616926,0.022759104147553444,0.3098938816663576
small,2000,12,0.37805585004389286,0.15394091792404652,0.022411493584513664,0.34457826666669766
small,2000,13,0.38215612806379795,0.16201918525621295,0.0220136942807585,0.3812068266667969
small,2000,14,0.37827148102223873,0.1616388652473688,0.021663261693902314,0.4176206900000883
small,2000,15,0.3681901842355728,0.15677430294454098,0.021141587756574154,0.4552417999996881
medium,20000,1,0.518608425643034,0.26435060447947994,0.02542578209500024,0.3567606000006587
medium,20000,2,0.3641817283098865,0.15495567450857467,0.020922605494025408,0.7149408633335649
medium,20000,3,0.31179623941707,0.12889782111546036,0.018289841842024947,1.0695635316670329
medium,20000,4,0.29119381479396944,0.11654259943088909,0.01746512150427528,1.4290529700005814
medium,20000,5,0.2723629915980017,0.10527179893224863,0.016709119295048865,1.7838669066666626
medium,20000,6,0.26369283068331945,0.10061757551257018,0.016307525556226065,2.1394092333338146
medium,20000,7,0.25114687755229365,0.09275999900167155,0.015838687758963958,2.5013582700000065
medium,20000,8,0.24534860167913375,0.09075092336839172,0.015459767839378991,2.8663034099998184
medium,20000,9,0.2372439805489437,0.08636795658214837,0.015087602440576265,3.228854888333202
medium,20000,10,0.2266221856045875,0.07977307644809127,0.014684910933445594,3.598751241667196
medium,20000,11,0.22431577371943529,0.07915966511721824,0.01451561091598242,3.964987353333466
medium,20000,12,0.21648336140213498,0.07480400969173498,0.014167935101042507,4.3361131000002695
medium,20000,13,0.21111103095066774,0.06972623830008659,0.014138479313700441,4.701774341666411
medium,20000,14,0.20841100299434298,0.06963386721197207,0.0138777135070532,5.064218726666877
medium,20000,15,0.20463647498826312,0.06895880528079097,0.013567766898376927,5.429182003333699
larger,100000,1,0.3568004795047633,0.15822498311700722,0.019857549629009822,1.8082344683333456
larger,100000,2,0.24471984620746748,0.09030157757822967,0.01544182686744939,3.5963677533339555
larger,100000,3,0.21426469066639994,0.07311754520801479,0.014114714518208485,5.363464316666553
larger,100000,4,0.1953700959034588,0.06421763023309161,0.013115246578946214,7.1494847350006845
larger,100000,5,0.17697669041659825,0.05572332419655131,0.012125336615097187,8.937402600000496
larger,100000,6,0.16431377351741352,0.0502857201806534,0.011402805341774468,10.736785114999899
larger,100000,7,0.15658627992586407,0.04733712773155564,0.010924915219788127,12.508936533333811
larger,100000,8,0.14810781039850182,0.04223039742592541,0.010587741331437894,14.268642876666854
larger,100000,9,0.14270779115083576,0.039209337153560134,0.010349845418425473,16.024725431666592
larger,100000,10,0.1383465543160658,0.03826892239820508,0.010007763198098105,17.804375198334068
larger,100000,11,0.1321237553435061,0.03386437027212566,0.009825938509877228,19.572128718333747
larger,100000,12,0.12828307782711884,0.03192859287123622,0.009635448509403278,21.350844700000017
larger,100000,13,0.12699637213326476,0.03215788100438807,0.009483849092046052,23.125071688333993
larger,100000,14,0.12258522222985697,0.02954215256799765,0.009304306954574173,24.86471984333378
larger,100000,15,0.11920023212195052,0.02765900266054265,0.009154122943877983,26.597780584999903
very_large,200000,1,0.299276950940137,0.12188928590769274,0.01773876653208385,3.539183191666962
very_large,200000,2,0.20713367948567188,0.07090510320697774,0.013622857592713925,7.061785446667151
very_large,200000,3,0.16955265342731624,0.052656510104773825,0.01168961431986044,10.59880835833416
very_large,200000,4,0.1494870243959906,0.04372621531778814,0.010576080913421288,14.110390870000508
very_large,200000,5,0.13844275834445227,0.03809721121041346,0.010034554705598171,17.558780026666742
very_large,200000,6,0.12971890897931612,0.03368052548025178,0.009603838335605897,21.07650035833358
very_large,200000,7,0.1237545374897681,0.031082426510353214,0.009267211097435012,24.666058555000927
very_large,200000,8,0.11773196027226274,0.02804911030475491,0.008968285004884214,28.142692121667398
very_large,200000,9,0.11337261714198539,0.026325677807239656,0.008704693929869646,31.64734572666736
very_large,200000,10,0.10783929242892519,0.0237426022526475,0.008409669019474922,35.16334156166704
very_large,200000,11,0.10483425885191043,0.02296333629173189,0.008187092254945313,38.65569927833373
very_large,200000,12,0.10087076635579612,0.02116955104727901,0.007970121545837483,42.17839480333399
very_large,200000,13,0.09724295840992503,0.01977507899183439,0.007746787936029263,45.70027877500009
very_large,200000,14,0.09459571456935874,0.01896336850542182,0.007563234613737615,49.25183236333348
very_large,200000,15,0.09123275757684436,0.017844911314212192,0.007338784618085096,52.79465260166714
