method,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_skeleton,pixel_recall_on_skeleton,pixel_f1_on_skeleton,pixel_iou_on_skeleton,pixel_accuracy_on_skeleton,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,raw_stroke_pixels,skeleton_stroke_pixels,graph_node_clusters,traced_paths,classified_line_pixels,classified_endpoint_pixels,classified_corner_pixels,classified_t_junction_pixels,classified_x_junction_pixels
skeleton_graph_junction_fix_on_shared_skeleton,599.5,10.5758,14.3742,4.0767,0.7317,0.767,0.9139,0.4902,0.8123,7.2075,11.025,0.8402,0.808,0.8227,0.7257,0.9882,361.2667,85.7142,108.1733,15828.8458,0.8402,0.808,0.8227,0.9882,0.7257,1112.1125,469.44,24.945,22.4183,382.0842,16.5733,2.9433,40.5783,27.2608
baseline_on_shared_skeleton,599.5,10.5758,13.0233,2.8342,0.7261,0.7444,0.9141,0.4931,0.8502,7.2075,9.3567,0.8125,0.7795,0.7948,0.6902,0.9859,340.7383,102.7392,128.7017,15811.8208,0.8125,0.7795,0.7948,0.9859,0.6902,1112.1125,469.44,24.0342,21.3708,,,,,
cnn_direct_vector_regression_on_shared_skeleton,599.5,10.5758,10.4142,0.8067,0.4083,0.197,0.855,0.2218,0.9319,7.2075,6.8142,0.0557,0.0511,0.0529,0.0276,0.9484,27.9642,404.3542,441.4758,15510.2058,0.0557,0.0511,0.0529,0.9484,0.0276,1112.1125,469.44,0.0,0.0,,,,,
mlp_direct_vector_regression_on_shared_skeleton,599.5,10.5758,10.7583,1.2825,0.393,0.1902,0.8084,0.2301,0.8822,7.2075,6.8808,0.0604,0.051,0.0549,0.0287,0.9504,28.065,370.9325,441.375,15543.6275,0.0604,0.051,0.0549,0.9504,0.0287,1112.1125,469.44,0.0,0.0,,,,,
