Method,Precision,Recall,F1-score,Accuracy,IoU
CNN + Distance-to-stroke,0.2634,0.0334,0.0593,0.9386,0.0306
CNN + Local density blur,0.1135,0.0325,0.0506,0.9693,0.0259
CNN + Multi-channel stack,0.2287,0.0282,0.0503,0.9382,0.0258
CNN + Sobel edge response,0.1185,0.03,0.0479,0.9673,0.0246
CNN + Dilated stroke,0.1656,0.0278,0.0476,0.9557,0.0244
CNN + Neighbour-count context,0.0815,0.0331,0.047,0.974,0.0241
CNN + Threshold binary,0.0851,0.0321,0.0466,0.9746,0.0239
CNN + Close small gaps,0.0885,0.0313,0.0463,0.9747,0.0237
CNN + Zhang-Suen skeleton,0.0342,0.0297,0.0318,0.985,0.0162
