preprocess_method,method,tp,fp,fn,tn
close_gaps,cnn_direct_vector_regression__close_gaps,12066,124275,372944,19151515
dilated_stroke,cnn_direct_vector_regression__dilated_stroke,21758,109595,761334,18768113
distance_transform,cnn_direct_vector_regression__distance_transform,38067,106454,1100256,18416023
local_density,cnn_direct_vector_regression__local_density,16087,125630,478213,19040870
multi_channel_stack,cnn_direct_vector_regression__multi_channel_stack,32157,108462,1106166,18414015
neighbour_context,cnn_direct_vector_regression__neighbour_context,12599,141989,368394,19137818
skeleton,cnn_direct_vector_regression__skeleton,4841,136850,157956,19361153
sobel_edges,cnn_direct_vector_regression__sobel_edges,16171,120302,521986,19002341
threshold_only,cnn_direct_vector_regression__threshold_only,12230,131529,368763,19148278
