method,method_display,preprocess_method,preprocess_display,preprocess_kind,input_channels,channel_names,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_preprocessed,pixel_recall_on_preprocessed,pixel_f1_on_preprocessed,pixel_iou_on_preprocessed,pixel_accuracy_on_preprocessed,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,raw_stroke_pixels,processed_feature_pixels,opening_radius,closing_radius,erode_radius,dilate_radius,density_radius,distance_decay_px,neighbour_blend,apply_opening,apply_closing,apply_erosion,apply_dilation,apply_skeletonization,internal_skeletonization_applied
cnn_direct_vector_regression__close_gaps,CNN + Close small gaps,close_gaps,Close small gaps,binary,1,,1,4,3,1,0.55775625,0.14034722222222223,0.848,1.0,0.75,0,0,0.008620689655098096,0.006249999999960938,0.00724637632424914,0.0036363636363504134,0.9832763671874399,1,115,159,16109,0.008620689655098096,0.006249999999960938,0.00724637632424914,0.9832763671874399,0.0036363636363504134,160,160,0,1,0,0,0,0.0,0.0,False,True,False,False,False,False
cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,Local density blur,local_density,1,,1,4,4,0,0.5530818965517241,0.12638888888888888,0.7310344827586207,1.0,1.0,0,0,0.035211267605385836,0.04310344827549049,0.03875968942725798,0.019762845849724257,0.9848632812499398,5,137,111,16131,0.035211267605385836,0.04310344827549049,0.03875968942725798,0.9848632812499398,0.019762845849724257,160,116,0,0,0,0,2,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__sobel_edges,CNN + Sobel edge response,sobel_edges,Sobel edge response,sobel_edges,1,,1,4,3,1,0.54288125,0.10729166666666667,0.848,1.0,0.75,0,0,0.2459016393422467,0.1071428571424745,0.14925373091977923,0.0806451612901058,0.9791259765624402,30,92,250,16012,0.2459016393422467,0.1071428571424745,0.14925373091977923,0.9791259765624402,0.0806451612901058,160,280,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,Distance-to-stroke,distance_transform,1,,1,4,3,1,0.5006597222222222,0.06319444444444444,0.7361111111111112,1.0,0.75,0,0,0.154411764704747,0.030882352941131057,0.051470587957390186,0.026415094339589416,0.9527587890624418,21,115,659,15589,0.154411764704747,0.030882352941131057,0.051470587957390186,0.9527587890624418,0.026415094339589416,160,680,0,0,0,0,0,4.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__neighbour_context,CNN + Neighbour-count context,neighbour_context,Neighbour-count context,neighbour_context,1,,1,4,4,0,0.26218812919463086,0.0442361111111111,0.7114093959731543,0.0,1.0,0,1,0.06521739130387524,0.05624999999964844,0.06040268406607812,0.03114186851200297,0.9829101562499399,9,129,151,16095,0.06521739130387524,0.05624999999964844,0.06040268406607812,0.9829101562499399,0.03114186851200297,160,160,0,0,0,0,0,0.0,0.45,False,False,False,False,False,False
cnn_direct_vector_regression__skeleton,CNN + Zhang-Suen skeleton,skeleton,Zhang-Suen skeleton,skeleton,1,,1,4,4,0,0.5432099358974359,0.1273611111111111,0.6794871794871795,1.0,1.0,0,0,0.01418439716301997,0.018348623853042673,0.015999999508064015,0.00806451612899974,0.9849853515624398,2,139,107,16136,0.01418439716301997,0.018348623853042673,0.015999999508064015,0.9849853515624398,0.00806451612899974,160,109,0,0,0,0,0,0.0,0.0,False,False,False,False,True,False
cnn_direct_vector_regression__multi_channel_stack,CNN + Multi-channel stack,multi_channel_stack,Multi-channel stack,multi_channel,8,"threshold_only, dilated_stroke, close_gaps, local_density, sobel_edges, distance_transform, neighbour_context, skeleton",1,4,4,0,0.5647109962406015,0.12291666666666665,0.7969924812030076,1.0,1.0,0,0,0.07462686567108488,0.014705882352919551,0.024570024294924817,0.012437810945258162,0.9515380859374419,10,124,670,15580,0.07462686567108488,0.014705882352919551,0.024570024294924817,0.9515380859374419,0.012437810945258162,160,680,0,0,0,0,0,0.0,0.0,False,False,False,False,True,False
cnn_direct_vector_regression__threshold_only,CNN + Threshold binary,threshold_only,Threshold binary,binary,1,,2,3,3,0,0.5274033816425121,0.07345679012345678,0.7217391304347827,1.0,1.0,0,0,0.07272727272661157,0.03539823008833895,0.04761904717835885,0.024390243902364665,0.9804687499999402,8,102,218,16056,0.07272727272661157,0.03539823008833895,0.04761904717835885,0.9804687499999402,0.024390243902364665,226,226,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__dilated_stroke,CNN + Dilated stroke,dilated_stroke,Dilated stroke,binary,1,,2,3,3,0,0.5468478260869566,0.11666666666666667,0.7217391304347827,1.0,1.0,0,0,0.21428571428380103,0.055555555555426954,0.08823529379033304,0.046153846153757394,0.9697265624999408,24,88,408,15864,0.21428571428380103,0.055555555555426954,0.08823529379033304,0.9697265624999408,0.046153846153757394,226,432,0,0,0,1,0,0.0,0.0,False,False,False,True,False,False
cnn_direct_vector_regression__close_gaps,CNN + Close small gaps,close_gaps,Close small gaps,binary,1,,2,3,3,0,0.27024569845435986,0.08786008230452674,0.6535433070866141,0.0,1.0,0,1,0.0,0.0,0.0,0.0,0.9788208007811903,0,121,226,16037,0.0,0.0,0.0,0.9788208007811903,0.0,226,226,0,1,0,0,0,0.0,0.0,False,True,False,False,False,False
