sample,method,Method,preprocess_method,True vectors,Predicted vectors,Vector count error,Engineering score,Line geometry score,Total length score,Junction angle score,Vector count score,True junctions,Predicted junctions,tp,fp,fn,tn,sample_precision,sample_recall,sample_f1,sample_accuracy,sample_iou
12,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,4,4,0,0.28847809278350517,0.04083333333333333,0.8505154639175257,0.0,1.0,0,1,17,170,476,15721,0.09090909090860477,0.03448275862061971,0.04999999960110294,0.9605712890624414,0.025641025640986966
12,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,4,4,0,0.31135745614035093,0.04083333333333333,0.9649122807017544,0.0,1.0,0,1,0,160,493,15731,0.0,0.0,0.0,0.9601440429686914,0.0
13,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,2,3,1,0.29273002408949866,0.16266025641025642,0.7643312101910829,0.0,0.6666666666666667,1,0,18,90,365,15911,0.16666666666512345,0.04699738903381985,0.07331975525736163,0.9722290039061906,0.03805496828744597
13,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,2,3,1,0.28761173036093424,0.0975,0.8853503184713376,0.0,0.6666666666666667,1,0,24,93,359,15908,0.20512820512645188,0.06266318537842647,0.095999999641128,0.9724121093749406,0.05042016806712097
14,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,3,4,1,0.5365276679841897,0.10642512077294686,0.8181818181818181,1.0,0.75,0,0,1,125,174,16084,0.007936507936444948,0.005714285714253062,0.0066445177856315416,0.98175048828119,0.003333333333322222
14,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,3,3,0,0.45753437383872164,0.007246376811594194,0.5213675213675213,1.0,1.0,0,0,7,52,168,16157,0.11864406779459925,0.039999999999771434,0.059829059451420856,0.9865722656249397,0.030837004405150498
15,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,2,2,0,0.3510188635305077,0.1330409356725146,0.9557522123893806,0.0,1.0,0,1,4,98,361,15921,0.03921568627412533,0.010958904109559017,0.017130620643517103,0.9719848632811906,0.008639308855272917
15,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,2,2,0,0.48628318584070795,0.0,0.6814159292035398,1.0,1.0,0,0,0,71,365,15948,0.0,0.0,0.0,0.9733886718749406,0.0
16,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,3,3,0,0.29818792476687217,0.06504223521767381,0.8445945945945946,0.0,1.0,1,0,10,114,405,15855,0.08064516128967221,0.02409638554211061,0.03710575103706789,0.9683227539061908,0.018903591682383925
16,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,3,3,0,0.38668918918918915,0.21666666666666667,0.9459459459459459,0.0,1.0,1,0,16,126,399,15843,0.11267605633723468,0.03855421686737698,0.05745062798615306,0.9679565429686909,0.029574861367782673
17,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,5,5,0,0.40508371740741933,0.2710780574624968,0.9154929577464789,0.0,1.0,1,0,6,192,438,15748,0.03030303030287726,0.013513513513483079,0.018691588358401037,0.9615478515624413,0.00943396226413611
17,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,5,4,1,0.39273201566377675,0.1464467327739639,0.8591549295774648,0.3,0.8,1,2,10,159,434,15781,0.05917159763278597,0.022522522522471798,0.03262642700671956,0.9638061523436912,0.016583747927004008
18,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,5,4,1,0.5478971602482245,0.1848650143736794,0.6735395189003437,1.0,0.8,0,0,31,148,767,15438,0.17318435754093195,0.03884711779443754,0.0634595698131665,0.9441528320311924,0.032769556025335336
18,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,5,5,0,0.39458140432557687,0.2132354994940273,0.993127147766323,0.0,1.0,0,1,34,239,764,15347,0.12454212454166835,0.04260651629067343,0.06349206311209103,0.9387817382811927,0.03278688524587002
19,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,4,3,1,0.5429794731846227,0.15786821705426357,0.7346938775510203,1.0,0.75,0,0,15,87,446,15836,0.14705882352797,0.03253796095437628,0.05328596773153211,0.9674682617186909,0.02737226277367268
19,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,4,3,1,0.48598164165425595,0.04027666399358459,0.7142857142857143,1.0,0.75,0,0,25,81,436,15842,0.2358490566015486,0.05422993492396046,0.08818342121244584,0.9684448242186908,0.04612546125452745
20,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.47238805970149256,0.0,0.6119402985074627,1.0,1.0,0,0,0,41,68,16275,0.0,0.0,0.0,0.9933471679686894,0.0
20,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.43955223880597016,0.0,0.4477611940298507,1.0,1.0,0,0,0,31,68,16285,0.0,0.0,0.0,0.9939575195311893,0.0
21,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.4676470588235294,0.0,0.5882352941176471,1.0,1.0,0,0,0,11,37,16336,0.0,0.0,0.0,0.9970703124999392,0.0
21,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.6339705882352941,0.21274509803921568,0.9411764705882353,1.0,1.0,0,0,0,14,37,16333,0.0,0.0,0.0,0.9968872070311892,0.0
22,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,2,2,0,0.5403106060606061,0.1127272727272727,0.6979166666666667,1.0,1.0,0,0,0,98,211,16075,0.0,0.0,0.0,0.98114013671869,0.0
22,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,2,2,0,0.3018778127812781,0.15378787878787878,0.6633663366336633,0.0,1.0,0,1,9,90,202,16083,0.09090909090817263,0.04265402843581681,0.058064515693923,0.98217773437494,0.029900332225814286
23,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,5,5,0,0.3383064621120988,0.1194076874606175,0.9228650137741047,0.0,1.0,1,2,41,281,637,15425,0.12732919254618844,0.06047197640109075,0.081999999563204,0.9439697265624424,0.04275286757034124
23,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,5,5,0,0.34513537385536086,0.2130703166935051,0.7462686567164178,0.0,1.0,1,0,19,223,659,15483,0.07851239669389044,0.028023598820017665,0.041304347438293955,0.9461669921874423,0.021087680355137528
24,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,2,2,0,0.23076923076923078,0.0,0.6538461538461539,0.0,1.0,1,0,28,52,323,15981,0.349999999995625,0.07977207977185251,0.12993039412862764,0.9771118164061904,0.06947890818841321
24,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,2,2,0,0.2753846153846154,0.0,0.8769230769230769,0.0,1.0,1,0,6,103,345,15930,0.05504587155912802,0.017094017093968395,0.026086956160009462,0.9726562499999406,0.013215859030807894
25,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,4,5,1,0.3445617816091954,0.15879629629629627,0.9655172413793104,0.0,0.8,0,3,27,218,691,15448,0.11020408163220326,0.03760445682446016,0.0560747659756494,0.9445190429686924,0.02884615384612303
25,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,4,4,0,0.31159722222222225,0.0875,0.8611111111111112,0.0,1.0,0,2,5,203,713,15463,0.02403846153834597,0.0069637883008259556,0.01079913572075721,0.9440917968749424,0.005428881650374127
26,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,5,5,0,0.2596811070998797,0.02592592592592592,0.7400722021660651,0.0,1.0,3,3,10,168,387,15819,0.056179775280583266,0.02518891687651086,0.03478260826806201,0.966125488281191,0.01769911504421646
26,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,5,5,0,0.2717417201432871,0.06395873629916182,0.7148014440433212,0.0,1.0,3,1,7,179,390,15808,0.03763440860194821,0.017632241813557603,0.024013721692340746,0.965270996093691,0.01215277777775668
27,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,3,2,1,0.1718709976765273,0.0025735294117646963,0.5202312138728324,0.0,0.6666666666666667,0,1,8,73,398,15905,0.0987654320975461,0.019704433497488412,0.032854209168129055,0.9712524414061907,0.016701461377835698
27,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,3,3,0,0.27415957719559947,0.004233870967741917,0.8612716763005781,0.0,1.0,0,2,11,135,395,15843,0.07534246575290862,0.027093596059046567,0.03985507207455104,0.9676513671874409,0.020332717190350586
28,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.4833333333333334,0.0,0.6666666666666667,1.0,1.0,0,0,0,18,13,16353,0.0,0.0,0.0,0.998107910156189,0.0
28,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.4666666666666667,0.0,0.5833333333333333,1.0,1.0,0,0,3,5,10,16366,0.374999999953125,0.2307692307514793,0.28571428521541953,0.999084472656189,0.1666666666574074
29,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.6182142857142857,0.18333333333333332,0.9285714285714286,1.0,1.0,0,0,0,11,51,16322,0.0,0.0,0.0,0.9962158203124392,0.0
29,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.4928571428571429,0.0,0.7142857142857143,1.0,1.0,0,0,3,7,48,16326,0.29999999997,0.05882352941061131,0.09836065546036012,0.9966430664061892,0.05172413793014269
30,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,2,2,0,0.57875,0.175,0.75,1.0,1.0,0,0,4,76,346,15958,0.049999999999374996,0.011428571428538776,0.018604650859837757,0.9742431640624405,0.009389671361480306
30,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,2,2,0,0.5038652073732719,0.024462365591397826,0.7142857142857143,1.0,1.0,0,0,3,66,347,15968,0.043478260868935095,0.008571428571404081,0.014319808794026011,0.9747924804686905,0.007211538461521126
31,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.4590909090909091,0.0,0.5454545454545454,1.0,1.0,0,0,3,19,10,16352,0.136363636357438,0.2307692307514793,0.1714285709518367,0.998229980468689,0.09374999999707033
31,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.7075,0.35,1.0,1.0,1.0,0,0,0,13,13,16358,0.0,0.0,0.0,0.998413085937439,0.0
32,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,4,5,1,0.3389280185758514,0.1426470588235294,0.9736842105263158,0.0,0.8,0,1,15,167,543,15659,0.08241758241712958,0.02688172043005935,0.0405405401695179,0.9566650390624416,0.020689655172385257
32,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,4,4,0,0.29955484896661366,0.11192368839427662,0.7459459459459459,0.0,1.0,0,1,0,120,558,15706,0.0,0.0,0.0,0.9586181640624415,0.0
33,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,2,3,1,0.280466058106078,0.06965166908563135,0.9122807017543859,0.0,0.6666666666666667,0,1,5,157,501,15721,0.030864197530673678,0.009881422924881658,0.01497005951279179,0.9598388671874414,0.007541478129702049
33,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,2,3,1,0.2576923076923077,0.0,0.9551282051282052,0.0,0.6666666666666667,0,1,11,124,495,15754,0.08148148148087792,0.021739130434739646,0.03432137252230208,0.9622192382811913,0.017460317460289747
34,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,4,4,0,0.4676470588235294,0.0,0.5882352941176471,1.0,1.0,0,0,3,74,215,16092,0.03896103896053297,0.013761467889845131,0.020338982664935373,0.98236083984369,0.010273972602704542
34,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,4,4,0,0.5161764705882352,0.0,0.8308823529411764,1.0,1.0,0,0,1,111,217,16055,0.008928571428491709,0.00458715596328171,0.006060605612157976,0.9799804687499402,0.0030395136778023114
35,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,3,3,0,0.5411036585365854,0.06023035230352301,0.8200000000000001,1.0,1.0,0,0,10,90,197,16087,0.099999999999,0.048309178743727976,0.0651465793648739,0.98248291015619,0.0336700336699203
35,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,3,3,0,0.5901441241685145,0.1195121951219512,0.9318181818181819,1.0,1.0,0,0,5,83,202,16094,0.05681818181753615,0.024154589371863988,0.033898304665877635,0.98260498046869,0.017241379310285375
36,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.6054591836734694,0.15952380952380948,0.9183673469387755,1.0,1.0,0,0,8,35,144,16197,0.18604651162358032,0.05263157894702217,0.08205128170666667,0.9890747070311896,0.04278074866287283
36,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.5874285714285714,0.1466666666666666,0.8571428571428572,1.0,1.0,0,0,0,43,152,16189,0.0,0.0,0.0,0.9880981445311897,0.0
37,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,2,2,0,0.3361363636363637,0.25,0.6181818181818182,0.0,1.0,1,0,6,24,136,16218,0.19999999999333334,0.04225352112646301,0.06976744157166037,0.9902343749999395,0.036144578313035275
37,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,2,2,0,0.18727272727272729,0.0,0.4363636363636364,0.0,1.0,1,0,10,16,132,16226,0.3846153846005917,0.07042253521077167,0.11904761878458048,0.9909667968749395,0.06329113924010575
38,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,5,5,0,0.3346256724447101,0.11785714285714284,0.9079497907949791,0.0,1.0,0,1,3,210,377,15794,0.014084507042187397,0.007894736842084488,0.010118043384477155,0.9641723632811912,0.005084745762703246
38,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,5,5,0,0.3113690476190476,0.06785714285714285,0.9041666666666667,0.0,1.0,0,1,6,220,374,15784,0.02654867256625421,0.015789473684168977,0.019801979730244324,0.9637451171874412,0.009999999999983333
39,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.5069230769230769,0.0,0.7846153846153846,1.0,1.0,0,0,14,37,186,16147,0.2745098039161861,0.06999999999965001,0.11155378453586451,0.9863891601561897,0.05907172995755666
39,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.6793461538461538,0.39,0.7692307692307692,1.0,1.0,0,0,0,51,200,16133,0.0,0.0,0.0,0.9846801757811898,0.0
40,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,5,5,0,0.2741606003994074,0.06692506459948319,0.7202216066481995,0.0,1.0,3,1,21,223,778,15362,0.08606557377013908,0.026282853566925803,0.04026845601733697,0.9389038085936927,0.020547945205459345
40,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,5,5,0,0.36487676351220766,0.22542635658914728,0.817174515235457,0.0,1.0,3,1,52,231,747,15354,0.18374558303822,0.06508135168953057,0.09611829905900794,0.9403076171874426,0.05048543689315487
41,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.4703703703703703,0.0,0.6018518518518519,1.0,1.0,0,0,6,59,225,16094,0.09230769230627218,0.025974025973913534,0.04054054019752101,0.98266601562494,0.02068965517234245
41,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.437037037037037,0.0,0.43518518518518523,1.0,1.0,0,0,0,43,231,16110,0.0,0.0,0.0,0.9832763671874399,0.0
