method,Method,tp,fp,fn,tn,Precision,Recall,F1-score,Accuracy,IoU
cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,13967,131786,373149,19141898,0.09582650099826354,0.03607962471197255,0.05242188941039558,0.9743176778157552,0.02691645050510496
cnn_direct_vector_regression__local_density,CNN + Local density blur,12410,130946,374706,19142738,0.08656770557214148,0.03205757447380105,0.046788520017587425,0.9742812093098958,0.023954661797236577
