Method,True vectors,Predicted vectors,Vector count error,Engineering score,Line geometry score,Total length score,Junction angle score,Vector count score,True junctions,Predicted junctions
CNN + Distance-to-stroke,3.0208,3.1283,0.2392,0.4692,0.1651,0.8002,0.5635,0.94,0.4392,0.4817
CNN + Local density blur,3.0208,2.9825,0.2633,0.4678,0.1537,0.7966,0.5839,0.9334,0.4392,0.3967
