preprocess_method,display_name,train_shape,test_shape,mean_train_raw_stroke_pixels,mean_train_processed_feature_pixels,mean_test_raw_stroke_pixels,mean_test_processed_feature_pixels
distance_transform,Distance-to-stroke,"(6000, 128, 128)","(1200, 128, 128)",328.90316666666666,978.7748333333333,322.5966666666667,966.98
local_density,Local density blur,"(6000, 128, 128)","(1200, 128, 128)",328.90316666666666,426.856,322.5966666666667,423.845
