sample,method,Method,preprocess_method,True vectors,Predicted vectors,Vector count error,Engineering score,Line geometry score,Total length score,Junction angle score,Vector count score,True junctions,Predicted junctions,tp,fp,fn,tn,sample_precision,sample_recall,sample_f1,sample_accuracy,sample_iou
721,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,3,3,0,0.27028110047846887,0.10833333333333334,0.6076555023923444,0.0,1.0,1,0,42,85,605,15652,0.33070866141471883,0.0649149922719244,0.1085271315083462,0.9578857421874415,0.05737704918024949
721,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,3,5,2,0.3253528708133972,0.2217836257309942,0.8277511961722488,0.0,0.6,1,1,27,132,620,15605,0.169811320753649,0.041731066460522825,0.06699751829354592,0.9541015624999417,0.03465982028236886
722,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,3,3,0,0.3248395061728395,0.12310013717421125,0.8472222222222222,0.0,1.0,0,1,9,216,870,15289,0.039999999999822226,0.010238907849817703,0.016304347501521155,0.9337158203124429,0.008219178082184276
722,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,3,4,1,0.3480177404058568,0.21646218735176853,0.8780487804878049,0.0,0.75,0,2,10,269,869,15236,0.03584229390668157,0.011376564277575225,0.017271156801732194,0.9305419921874432,0.008710801393720635
723,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,4,4,0,0.2791220414201183,0.032499999999999994,0.8224852071005917,0.0,1.0,0,2,5,163,374,15842,0.02976190476172761,0.013192612137168358,0.018281535223325512,0.9672241210936909,0.00922509225090549
723,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,4,4,0,0.5394247382198952,0.0975,0.7277486910994764,1.0,1.0,0,0,12,173,367,15832,0.06486486486451425,0.03166226912920406,0.042553191048369056,0.9670410156249409,0.021739130434743226
724,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,2,1,0.703747899159664,0.52,0.8487394957983193,1.0,0.5,0,0,0,120,308,15956,0.0,0.0,0.0,0.9738769531249405,0.0
724,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.4668316831683168,0.0,0.5841584158415842,1.0,1.0,0,0,0,60,308,16016,0.0,0.0,0.0,0.9775390624999403,0.0
725,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,5,5,0,0.3249580365687379,0.1783291976840364,0.7235494880546075,0.0,1.0,4,1,43,154,579,15608,0.21827411167401892,0.06913183279731651,0.10500610464049041,0.9552612304686917,0.055412371133949215
725,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,5,5,0,0.3321873883162968,0.15343879239040528,0.8156996587030717,0.0,1.0,4,1,13,205,609,15557,0.05963302752266224,0.020900321543374758,0.030952380567964857,0.9503173828124419,0.01571946795645016
