model,epoch,loss,conf_loss,coord_loss,preprocess_method,preprocess_display
cnn_direct_vector_regression__distance_transform,1,0.34334799140057665,0.13689415584853354,0.020645383666170403,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,2,0.23826458416086563,0.08714373457304975,0.015112085089563056,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,3,0.19805992759288626,0.07124741161440282,0.012681251728629812,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,4,0.16554882710284374,0.05726736728498276,0.010828145977823025,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,5,0.13970893415364813,0.046795740327302444,0.009291319295446923,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,6,0.11999695716386145,0.038597531299641795,0.008139942594348117,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,7,0.1051032267352368,0.03379812741533239,0.007130509945861203,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,8,0.08832271349556903,0.027542747596793985,0.006077996613655953,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,9,0.07471836500979484,0.0220063216984272,0.005271204301413704,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,10,0.06296459315939153,0.017754366363775222,0.004521022659746256,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,11,0.05729600565230593,0.016337840342299736,0.004095816514157551,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,12,0.05058422668817195,0.013763239191092074,0.00368209873286492,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,13,0.04773315272115646,0.013701111018816207,0.0034032041712247943,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,14,0.04185189679265022,0.010475607489810345,0.0031376289342470625,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__distance_transform,15,0.039567131469858456,0.009854400074703897,0.0029712731434785307,distance_transform,Distance-to-stroke
cnn_direct_vector_regression__local_density,1,0.37886959314346313,0.16726342620367698,0.021160616321449586,local_density,Local density blur
cnn_direct_vector_regression__local_density,2,0.24435804879411738,0.09151074004934188,0.015284730497985444,local_density,Local density blur
cnn_direct_vector_regression__local_density,3,0.19964309195254712,0.07195563297322456,0.012768745858301508,local_density,Local density blur
cnn_direct_vector_regression__local_density,4,0.16795565853727626,0.05987419140465716,0.010808146657778862,local_density,Local density blur
cnn_direct_vector_regression__local_density,5,0.14303704367039052,0.04958788448191704,0.009344916037739591,local_density,Local density blur
cnn_direct_vector_regression__local_density,6,0.11931493022340409,0.040366481672576136,0.00789484486697202,local_density,Local density blur
cnn_direct_vector_regression__local_density,7,0.10125730868349685,0.0340228446145007,0.006723446385102703,local_density,Local density blur
cnn_direct_vector_regression__local_density,8,0.08401964287808601,0.027005923119314174,0.005701371944172585,local_density,Local density blur
cnn_direct_vector_regression__local_density,9,0.07442399922837602,0.024392062956665423,0.005003193631134135,local_density,Local density blur
cnn_direct_vector_regression__local_density,10,0.06758932333360328,0.022370125900240654,0.004521919790893159,local_density,Local density blur
cnn_direct_vector_regression__local_density,11,0.055705133984063536,0.01692318837059305,0.003878194576208579,local_density,Local density blur
cnn_direct_vector_regression__local_density,12,0.04757025172101691,0.01326946171119492,0.0034300790098991166,local_density,Local density blur
cnn_direct_vector_regression__local_density,13,0.042459318850268706,0.010960411339839722,0.003149890781756728,local_density,Local density blur
cnn_direct_vector_regression__local_density,14,0.03769280698071135,0.00901225447020632,0.002868055261948958,local_density,Local density blur
cnn_direct_vector_regression__local_density,15,0.03391396939913009,0.007562430872720607,0.0026351538427332615,local_density,Local density blur
