Method,True vectors,Predicted vectors,Vector count error,Engineering score,Line geometry score,Total length score,Junction angle score,Vector count score,True junctions,Predicted junctions
CNN + Distance-to-stroke,2.9475,3.0542,0.2333,0.4846,0.1576,0.8165,0.6249,0.9415,0.3908,0.3792
CNN + Local density blur,2.9475,3.1258,0.2983,0.4677,0.151,0.8127,0.5791,0.9246,0.3908,0.4983
