method,Method,tp,fp,fn,tn,Precision,Recall,F1-score,Accuracy,IoU
cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,13588,134783,369437,19142992,0.09158123892135195,0.03547549115592968,0.05114076844031793,0.9743540445963542,0.02624138676884091
cnn_direct_vector_regression__local_density,CNN + Local density blur,13657,137870,369368,19139905,0.09012915190032081,0.035655636055087696,0.05109699296392348,0.9742005411783854,0.026218335749047264
