Method,Precision,Recall,F1-score,Accuracy,IoU
CNN + Distance-to-stroke,0.0916,0.0355,0.0511,0.9744,0.0262
CNN + Local density blur,0.0901,0.0357,0.0511,0.9742,0.0262
