method,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision,pixel_recall,pixel_f1,pixel_iou,pixel_accuracy,junction_nodes,traced_paths
skeleton_junction_fix,46,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.99999999996,0.99999999996,0.99999999946,0.99999999996,0.9999999999999389,2,1
baseline_original_unchanged,47,2,2,0,1.0,1.0,1.0,1.0,1.0,0,0,0.999999999989899,0.999999999989899,0.9999999994898989,0.999999999989899,0.9999999999999389,4,2
skeleton_junction_fix,47,2,2,0,1.0,1.0,1.0,1.0,1.0,0,0,0.999999999989899,0.999999999989899,0.9999999994898989,0.999999999989899,0.9999999999999389,4,2
baseline_original_unchanged,48,5,5,0,0.9946818181818181,0.9881818181818182,1.0,1.0,1.0,0,0,0.9999999999967533,0.9999999999967533,0.9999999994967532,0.9999999999967533,0.9999999999999389,10,5
skeleton_junction_fix,48,5,5,0,0.9946818181818181,0.9881818181818182,1.0,1.0,1.0,0,0,0.9999999999967533,0.9999999999967533,0.9999999994967532,0.9999999999967533,0.9999999999999389,10,5
baseline_original_unchanged,49,3,3,0,1.0,1.0,1.0,1.0,1.0,0,0,0.999999999996633,0.999999999996633,0.9999999994966331,0.999999999996633,0.9999999999999389,6,3
skeleton_junction_fix,49,3,3,0,1.0,1.0,1.0,1.0,1.0,0,0,0.999999999996633,0.999999999996633,0.9999999994966331,0.999999999996633,0.9999999999999389,6,3
baseline_original_unchanged,50,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.999999999990991,0.999999999990991,0.9999999994909909,0.999999999990991,0.9999999999999389,2,1
skeleton_junction_fix,50,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.999999999990991,0.999999999990991,0.9999999994909909,0.999999999990991,0.9999999999999389,2,1
baseline_original_unchanged,51,2,2,0,1.0,1.0,1.0,1.0,1.0,0,0,0.99999999999,0.99999999999,0.99999999949,0.99999999999,0.9999999999999389,4,2
skeleton_junction_fix,51,2,2,0,1.0,1.0,1.0,1.0,1.0,0,0,0.99999999999,0.99999999999,0.99999999949,0.99999999999,0.9999999999999389,4,2
