Cycle,Training samples,Epoch,Loss,Keep/delete loss,Refinement coordinate loss,Addition EOS loss,Addition coordinate loss,Elapsed minutes
medium,500,1,1.6430241763591766,0.6751167625188828,0.0010940434149233624,0.6169306635856628,0.034003638196736574,0.01761237499983205
medium,500,2,1.3177792429924011,0.6092267483472824,0.0010944684618152678,0.4258139878511429,0.02717938693240285,0.03447800500046772
medium,500,3,1.1091195940971375,0.5461931228637695,0.0010885512019740418,0.2715766243636608,0.028046434745192528,0.05166339333324383
medium,500,4,0.9217803031206131,0.49849462509155273,0.001101309506339021,0.16597798094153404,0.024629459716379642,0.06824747166635158
medium,500,5,0.8017109930515289,0.4876473769545555,0.001058354609995149,0.11373316682875156,0.0189746858086437,0.08391056999971624
medium,500,6,0.8435050696134567,0.49976661801338196,0.0010089882562169805,0.09803405683487654,0.023561452515423298,0.09962326666670075
medium,500,7,0.8434652388095856,0.4986715465784073,0.0010418129968456924,0.09375225752592087,0.024062327342107892,0.11560020833373225
medium,500,8,0.7603351473808289,0.48943544924259186,0.0010399032762506977,0.09382582316175103,0.016667486634105444,0.13206635833291028
medium,500,9,0.7893587946891785,0.48548226058483124,0.0009989326499635354,0.09288252564147115,0.02010046853683889,0.14780925666661157
medium,500,10,0.8154817521572113,0.48793773353099823,0.000991208537016064,0.0935865119099617,0.022404543589800596,0.164879549999993
medium,500,11,0.8069502115249634,0.4887690022587776,0.000999187890556641,0.09260416589677334,0.02155851456336677,0.18118509999961438
medium,500,12,0.6925260722637177,0.4868190586566925,0.001006394057185389,0.0894950833171606,0.01061479898635298,0.19898594499973116
medium,500,13,0.7886505424976349,0.48558397591114044,0.000992475397652015,0.0915726013481617,0.02015692158602178,0.2161752433331761
medium,500,14,0.6894747465848923,0.48562147468328476,0.0009803346038097516,0.08777012350037694,0.010627982672303915,0.23328256833386452
medium,500,15,0.7148386389017105,0.48760657012462616,0.0009866865439107642,0.08880097791552544,0.01285642385482788,0.2501306649995968
