Method,Precision,Recall,F1-score,Accuracy,IoU
Unedited Hough vectors from distance-to-stroke,0.2677,0.5024,0.3493,0.9616,0.2116
CNN-refined Hough vectors from distance-to-stroke,0.5342,0.144,0.2268,0.9799,0.1279
