Cycle,Training samples,Epoch,Loss,Keep/delete loss,Refinement coordinate loss,Addition EOS loss,Addition coordinate loss,Elapsed minutes
small,100,1,1.8621242046356201,0.701272189617157,0.0009924254845827818,0.7020827531814575,0.04488450288772583,0.0039726433334484074
small,100,2,1.7478585243225098,0.6830042600631714,0.0009856803808361292,0.6500933170318604,0.040490418672561646,0.007433563333082324
small,100,3,1.6403995752334595,0.6657826900482178,0.0009826658060774207,0.6019970774650574,0.036279305815696716,0.011315385000004122
small,100,4,1.536468744277954,0.649178147315979,0.0009813450742512941,0.5562016367912292,0.032127540558576584,0.014880431666582202
small,100,5,1.4343074560165405,0.6327944397926331,0.0009801280684769154,0.5120647549629211,0.027964701876044273,0.018170715000208778
small,100,6,1.3334581851959229,0.6161933541297913,0.0009776733350008726,0.4693310558795929,0.02381570264697075,0.021615308333033077
small,100,7,1.2344611883163452,0.5992282629013062,0.0009741486865095794,0.4277791678905487,0.01977122575044632,0.024837518333030554
small,100,8,1.138271450996399,0.5820038318634033,0.000971222878433764,0.38728347420692444,0.01592719554901123,0.028694596666415842
small,100,9,1.0462595224380493,0.564825713634491,0.0009700245573185384,0.34797677397727966,0.012375679798424244,0.031699391666916196
small,100,10,0.9606150388717651,0.5481858849525452,0.0009705402771942317,0.31034448742866516,0.009237920865416527,0.03501702500022172
small,100,11,0.8834745287895203,0.532634973526001,0.0009720348170958459,0.2749083340167999,0.006621092092245817,0.03816707499984962
small,100,12,0.8163989186286926,0.5186265110969543,0.0009735811036080122,0.24219673871994019,0.004583983216434717,0.04171918833356661
small,100,13,0.7602484226226807,0.5066502094268799,0.000974432157818228,0.21266447007656097,0.0031189362052828074,0.045217733333508175
small,100,14,0.7151674032211304,0.4972136318683624,0.0009739672532305121,0.18668697774410248,0.0021527125500142574,0.04836286333350775
small,100,15,0.6805515885353088,0.4907267987728119,0.0009714994230307639,0.1645064502954483,0.0015603338833898306,0.051690186666868004
