Method,tp,fp,fn,tn,Precision,Recall,F1-score,Accuracy,IoU
CNN-refined Hough vectors from distance-to-stroke,58096,50660,345476,19206568,0.5341866195887993,0.14395448643612505,0.2267922109052415,0.9798514811197917,0.12789939942584377
Unedited Hough vectors from distance-to-stroke,202739,554536,200833,18702692,0.26772176554091937,0.5023614125856093,0.34929495400639476,0.9615799458821614,0.2116034935518749
