Method,tp,fp,fn,tn,Precision,Recall,F1-score,Accuracy,IoU
CNN-refined Hough vectors from distance-to-stroke,0,0,403572,19257228,0.0,0.0,0.0,0.9794732666015625,0.0
Unedited Hough vectors from distance-to-stroke,202739,554536,200833,18702692,0.26772176554091937,0.5023614125856093,0.34929495400639476,0.9615799458821614,0.2116034935518749
