Cycle,Training samples,sample,Method,True vectors,Predicted vectors,Vector count error,Engineering score,Line geometry score,Total length score,Junction angle score,Vector count score,True junctions,Predicted junctions,tp,fp,fn,tn,sample_precision,sample_recall,sample_f1,sample_accuracy,sample_iou
small,100,231,Unedited Hough vectors from distance-to-stroke,2,4,2,0.430491935483871,0.5838888888888889,0.5887096774193548,0.0,0.5,0,1,28,92,47,16217,0.2333333333313889,0.37333333332835555,0.287179486703169,0.9915161132811895,0.16766467065767868
small,100,232,Unedited Hough vectors from distance-to-stroke,4,14,10,0.38950156235779515,0.6745098039215688,0.2870036101083032,0.0,0.2857142857142857,0,21,167,282,271,15664,0.3719376391973899,0.3812785388119149,0.37655016860858526,0.966247558593691,0.2319444444441223
small,100,233,Unedited Hough vectors from distance-to-stroke,2,9,7,0.36834943979736695,0.6514728682170542,0.2648221343873518,0.0,0.2222222222222222,0,7,69,172,56,16087,0.28630705394072076,0.551999999995584,0.377049179876034,0.9860839843749398,0.23232323232245009
small,100,234,Unedited Hough vectors from distance-to-stroke,2,9,7,0.3684439050701187,0.65,0.26860841423948223,0.0,0.2222222222222222,0,8,93,189,90,16012,0.32978723404138377,0.5081967213086984,0.39999999952094356,0.9829711914061899,0.24999999999932795
small,100,235,Unedited Hough vectors from distance-to-stroke,3,17,14,0.34891865191374055,0.6499999999999999,0.1938579654510557,0.0,0.17647058823529416,0,32,125,272,96,15891,0.31486146095638573,0.5656108597259475,0.404530743875813,0.9775390624999403,0.2535496957398508
small,100,236,Unedited Hough vectors from distance-to-stroke,3,21,18,0.3390374223477672,0.6375757575757575,0.18921308576480989,0.0,0.1428571428571429,0,56,286,694,259,15145,0.29183673469357974,0.524770642200872,0.37508196675330546,0.9418334960936925,0.230831315576892
small,100,237,Unedited Hough vectors from distance-to-stroke,4,22,18,0.3915035351513299,0.7304522304179838,0.2049751243781095,0.014492753623188406,0.18181818181818177,1,69,265,540,248,15331,0.329192546583442,0.5165692007787202,0.4021244304799254,0.9519042968749418,0.251661918328346
small,100,238,Unedited Hough vectors from distance-to-stroke,5,29,24,0.3539584173243822,0.6380036742192284,0.22307692307692306,0.02,0.1724137931034483,2,90,450,770,454,14710,0.3688524590160911,0.4977876106189184,0.4237288130699902,0.9252929687499435,0.2688172043009147
small,100,239,Unedited Hough vectors from distance-to-stroke,4,29,25,0.31938837035836437,0.5972183571588031,0.16050085372794531,0.018987341772151903,0.13793103448275867,4,158,381,922,331,14750,0.29240214888695903,0.5351123595498103,0.37816377125479606,0.9235229492186936,0.2331701346387802
small,100,240,Unedited Hough vectors from distance-to-stroke,1,10,9,0.34877699122730826,0.6554406130268199,0.21914357682619645,0.0,0.09999999999999998,0,13,124,224,142,15894,0.3563218390794359,0.46616541353208213,0.40390879429587584,0.9776611328124403,0.2530612244892795
small,100,241,Unedited Hough vectors from distance-to-stroke,1,4,3,0.4528085851258437,0.7575502008032129,0.4345549738219895,0.0,0.25,0,1,49,140,35,16160,0.2592592592578875,0.5833333333263888,0.35897435854569365,0.9893188476561896,0.21874999999902345
small,100,242,Unedited Hough vectors from distance-to-stroke,1,8,7,0.3634837545126354,0.65,0.29241877256317694,0.0,0.125,0,5,122,132,126,16004,0.48031496062803025,0.49193548386898417,0.4860557763905653,0.9842529296874399,0.3210526315781025
small,100,243,Unedited Hough vectors from distance-to-stroke,2,5,3,0.4242235405525847,0.6787459150326797,0.3939393939393939,0.0,0.4,0,4,27,162,114,16081,0.142857142856387,0.1914893617007696,0.1636363631459504,0.9831542968749399,0.08910891089079502
small,100,244,Unedited Hough vectors from distance-to-stroke,5,24,19,0.3235222832722832,0.5616666666666666,0.2222222222222222,0.02197802197802198,0.20833333333333337,3,91,329,636,231,15188,0.34093264248669336,0.5874999999989509,0.4314754093707645,0.9470825195311922,0.2750836120399038
small,100,245,Unedited Hough vectors from distance-to-stroke,5,15,10,0.368199604743083,0.6047826086956521,0.313570487483531,0.0,0.33333333333333337,1,21,241,429,234,15480,0.3597014925367766,0.5073684210515634,0.42096069820372306,0.9595336914061914,0.2665929203536874
small,100,246,Unedited Hough vectors from distance-to-stroke,1,4,3,0.6425000000000001,0.65,0.375,1.0,0.25,0,0,17,35,42,16290,0.32692307691678996,0.28813559321545534,0.30630630580277574,0.9953002929686893,0.18085106382786328
small,100,247,Unedited Hough vectors from distance-to-stroke,4,21,17,0.3596606534160714,0.666233230134159,0.20404040404040402,0.0,0.19047619047619047,0,44,268,604,269,15243,0.30733944954093195,0.49906890130260884,0.3804116389883347,0.9467163085936922,0.23488168273423762
small,100,248,Unedited Hough vectors from distance-to-stroke,1,3,2,0.3176475748194014,0.47274509803921566,0.35789473684210527,0.0,0.33333333333333337,0,2,20,52,22,16290,0.27777777777391977,0.47619047617913834,0.35087719251092647,0.9954833984374392,0.21276595744454505
small,100,249,Unedited Hough vectors from distance-to-stroke,2,5,3,0.778069879082473,0.7801857282502443,0.6849315068493151,1.0,0.4,0,0,108,109,228,15939,0.4976958525322687,0.32142857142761483,0.3905967445488655,0.9794311523436902,0.24269662921293778
small,100,250,Unedited Hough vectors from distance-to-stroke,3,11,8,0.30542775807354866,0.4766666666666666,0.3182751540041068,0.0,0.2727272727272727,0,15,226,184,214,15760,0.5512195121937775,0.5136363636351963,0.5317647053817245,0.9757080078124404,0.36217948717890674
small,100,251,Unedited Hough vectors from distance-to-stroke,2,9,7,0.3200138888888889,0.5525,0.24583333333333335,0.0,0.2222222222222222,0,8,49,160,52,16123,0.23444976076442847,0.4851485148466817,0.31612903181671176,0.9870605468749397,0.18773946360081326
small,100,252,Unedited Hough vectors from distance-to-stroke,4,18,14,0.40942036290322575,0.7269675925925926,0.2655913978494624,0.027777777777777776,0.2222222222222222,1,36,232,532,338,15282,0.3036649214655711,0.40701754385893507,0.3478260864665748,0.9468994140624422,0.21052631578928266
small,100,253,Unedited Hough vectors from distance-to-stroke,4,24,20,0.4186833358621868,0.8105387759170654,0.18637110016420366,0.0,0.16666666666666663,0,40,192,882,289,15021,0.17877094972050395,0.3991683991675693,0.24694533719297523,0.9285278320311933,0.14086573734399055
small,100,254,Unedited Hough vectors from distance-to-stroke,2,3,1,0.8285488033251118,0.772565543071161,0.8211382113821138,1.0,0.6666666666666667,0,0,6,120,97,16161,0.04761904761866969,0.05825242718390046,0.05240174622947694,0.9867553710936897,0.026905829596291904
